Date, Open, High, Low, Close, Volume
10/27/23, 132.00, 132.00, 127.00, 128.50, 16900
10/26/23, 133.00, 133.00, 131.50, 131.50, 7900
10/25/23, 134.00, 134.00, 132.00, 132.25, 600
10/24/23, 134.00, 134.00, 130.00, 131.50, 3300
10/23/23, 134.00, 134.00, 131.00, 131.75, 3300
10/19/23, 130.00, 135.00, 130.00, 132.25, 2600
10/18/23, 135.00, 135.00, 135.00, 135.00, 1700
10/17/23, 130.00, 130.00, 130.00, 130.00, 2300
10/16/23, 130.00, 130.00, 128.00, 129.25, 1100
10/13/23, 130.00, 130.00, 124.00, 126.00, 4400
10/12/23, 130.25, 130.25, 130.00, 130.00, 600
10/11/23, 131.00, 131.00, 120.00, 120.25, 283900
10/09/23, 132.00, 132.00, 126.00, 130.25, 800
10/06/23, 132.00, 132.00, 120.00, 124.00, 6800
10/05/23, 132.00, 132.00, 131.50, 131.75, 3900
10/04/23, 131.50, 132.00, 131.00, 131.50, 600
10/03/23, 132.00, 132.00, 120.00, 124.00, 8900
10/02/23, 132.00, 132.00, 131.00, 131.75, 2500
09/29/23, 131.00, 131.00, 131.00, 131.00, 1000
09/28/23, 130.00, 131.00, 129.00, 129.25, 1500
09/27/23, 130.00, 130.00, 125.50, 129.25, 7000
09/26/23, 131.00, 131.00, 130.00, 130.00, 31100
09/25/23, 133.25, 133.25, 130.00, 130.75, 1900
09/22/23, 133.00, 133.00, 130.00, 131.00, 1800
09/21/23, 132.00, 133.75, 131.00, 133.25, 11800
09/20/23, 134.00, 135.00, 132.00, 134.00, 8200
09/19/23, 135.00, 135.00, 132.00, 134.00, 4000
09/18/23, 130.00, 130.00, 130.00, 130.00, 400
09/15/23, 136.00, 136.00, 130.00, 130.00, 15500
09/14/23, 131.00, 131.00, 131.00, 131.00, 100
09/13/23, 138.00, 138.00, 130.50, 130.75, 20800
09/12/23, 130.00, 131.00, 130.00, 130.50, 16700
09/11/23, 130.25, 132.00, 130.00, 130.50, 4800
09/08/23, 131.00, 131.00, 130.25, 130.75, 3900
09/07/23, 134.00, 134.00, 129.00, 130.00, 9600
09/06/23, 135.00, 135.00, 130.00, 131.00, 5000
09/05/23, 138.75, 138.75, 132.00, 134.25, 12400
09/04/23, 135.00, 139.75, 132.00, 134.25, 9200
09/01/23, 142.00, 142.00, 132.00, 135.50, 4100
08/31/23, 135.00, 140.00, 130.00, 135.25, 38800
08/30/23, 137.00, 137.00, 132.00, 134.75, 8500
08/29/23, 132.00, 135.00, 126.25, 132.75, 2800
08/28/23, 135.00, 135.00, 126.25, 134.75, 3200
08/25/23, 135.00, 135.00, 132.00, 134.25, 400
08/24/23, 135.00, 135.00, 134.75, 135.00, 1400
08/23/23, 126.00, 126.00, 126.00, 126.00, 2600
08/22/23, 127.00, 135.00, 125.00, 125.25, 180600
08/21/23, 126.00, 130.00, 125.00, 125.00, 117600
08/18/23, 135.00, 135.00, 125.00, 125.25, 326300
08/17/23, 134.00, 135.00, 131.00, 132.50, 7100
08/16/23, 135.00, 138.00, 129.00, 129.75, 1955500
08/15/23, 138.00, 139.00, 134.00, 135.00, 10400
08/14/23, 138.00, 139.75, 136.00, 137.00, 3700
08/11/23, 140.00, 141.00, 134.00, 138.00, 23000
08/10/23, 141.00, 141.00, 138.00, 139.75, 3100
08/09/23, 141.00, 145.00, 141.00, 144.75, 13800
08/08/23, 143.50, 145.00, 135.00, 141.25, 27800
08/07/23, 145.00, 145.00, 143.00, 144.75, 25000
08/04/23, 145.00, 145.00, 141.50, 143.00, 21300
08/03/23, 154.00, 154.00, 143.25, 145.50, 4400
