Date, Open, High, Low, Close, Volume
10/27/23, 38.00, 39.00, 37.60, 38.00, 2072000
10/26/23, 37.95, 37.95, 37.20, 37.50, 142400
10/25/23, 38.00, 38.00, 37.20, 37.95, 29700
10/24/23, 37.25, 38.00, 37.00, 37.05, 249700
10/23/23, 37.25, 37.25, 37.00, 37.00, 1709300
10/19/23, 37.05, 38.00, 37.05, 37.25, 70000
10/18/23, 37.50, 37.50, 37.00, 37.00, 1552100
10/17/23, 37.00, 38.00, 36.50, 37.00, 1208300
10/16/23, 36.60, 37.00, 36.50, 36.70, 36600
10/13/23, 36.30, 36.95, 36.30, 36.45, 54900
10/12/23, 36.95, 36.95, 36.20, 36.25, 258100
10/11/23, 36.95, 36.95, 36.05, 36.25, 285400
10/09/23, 36.95, 36.95, 36.10, 36.20, 3432700
10/06/23, 36.80, 36.80, 36.35, 36.55, 50600
10/05/23, 36.50, 37.00, 36.00, 36.30, 40400
10/04/23, 36.00, 37.00, 35.80, 36.05, 176800
10/03/23, 35.90, 37.00, 35.90, 36.00, 1346300
10/02/23, 36.50, 36.50, 35.40, 35.80, 299300
09/29/23, 35.80, 35.90, 35.40, 35.55, 344800
09/28/23, 36.10, 36.10, 35.90, 35.95, 182300
09/27/23, 36.60, 36.60, 36.00, 36.20, 357700
09/26/23, 36.80, 36.80, 36.55, 36.65, 49400
09/25/23, 37.00, 37.00, 36.50, 36.80, 118100
09/22/23, 37.70, 37.70, 36.80, 36.90, 682900
09/21/23, 37.00, 37.75, 36.95, 37.15, 110600
09/20/23, 37.00, 37.70, 36.80, 37.00, 212000
09/19/23, 38.95, 38.95, 36.90, 37.00, 5613900
09/18/23, 38.00, 38.00, 37.20, 37.40, 23600
09/15/23, 37.75, 37.75, 37.20, 37.40, 445300
09/14/23, 38.50, 38.50, 37.55, 37.70, 673700
09/13/23, 37.50, 38.85, 37.05, 37.60, 900700
09/12/23, 37.50, 37.50, 37.05, 37.50, 4216500
09/11/23, 38.50, 38.50, 37.30, 37.50, 166000
09/08/23, 37.80, 37.80, 37.00, 37.20, 176400
09/07/23, 38.20, 38.50, 37.00, 37.55, 1587200
09/06/23, 39.00, 39.50, 38.20, 38.70, 54100
