Date, Open, High, Low, Close, Volume
10/27/23, 19.00, 19.00, 18.50, 18.85, 305500
10/26/23, 19.45, 19.55, 18.95, 19.15, 254900
10/25/23, 19.90, 19.90, 19.00, 19.50, 309200
10/24/23, 20.00, 20.00, 19.75, 19.85, 61000
10/23/23, 20.00, 20.00, 19.80, 19.90, 252600
10/19/23, 20.00, 20.00, 19.80, 19.90, 363200
10/18/23, 20.50, 20.50, 19.90, 20.05, 470300
10/17/23, 20.75, 20.75, 20.35, 20.40, 458900
10/16/23, 20.80, 20.95, 20.40, 20.65, 192900
10/13/23, 21.00, 21.00, 20.50, 20.90, 167000
10/12/23, 20.95, 21.00, 20.85, 20.90, 306000
10/11/23, 21.00, 21.00, 20.85, 20.95, 316700
10/09/23, 21.00, 21.00, 20.90, 20.95, 94700
10/06/23, 21.00, 21.00, 20.40, 20.95, 1678900
10/05/23, 20.95, 21.00, 20.85, 20.95, 138300
10/04/23, 20.90, 20.95, 20.85, 20.95, 414200
10/03/23, 20.95, 21.30, 20.90, 20.95, 426200
10/02/23, 22.00, 22.00, 20.80, 21.00, 271000
09/29/23, 21.00, 21.90, 20.25, 20.85, 1413200
09/28/23, 22.00, 22.00, 20.40, 20.90, 354400
09/27/23, 22.00, 22.20, 21.50, 21.95, 222400
09/26/23, 22.90, 22.90, 21.90, 22.05, 284500
09/25/23, 22.35, 22.35, 22.25, 22.25, 538700
09/22/23, 22.25, 22.35, 22.25, 22.35, 119800
09/21/23, 22.35, 22.35, 22.25, 22.30, 109000
09/20/23, 22.35, 22.35, 22.25, 22.35, 190400
09/19/23, 22.60, 22.60, 22.25, 22.35, 184500
09/18/23, 22.50, 22.80, 22.30, 22.40, 268000
09/15/23, 22.50, 22.50, 22.25, 22.30, 442400
09/14/23, 23.10, 23.10, 22.10, 22.65, 502000
09/13/23, 23.30, 23.45, 22.90, 23.05, 216300
09/12/23, 25.00, 25.00, 22.80, 23.10, 1257300
09/11/23, 25.00, 25.00, 23.30, 23.45, 291700
09/08/23, 23.30, 23.40, 23.30, 23.35, 285100
09/07/23, 23.40, 23.45, 23.30, 23.40, 281800
09/06/23, 25.00, 25.00, 23.25, 23.35, 151700
09/05/23, 23.50, 23.50, 23.25, 23.30, 279000
09/04/23, 23.75, 23.75, 23.30, 23.45, 231900
09/01/23, 23.50, 23.80, 23.35, 23.45, 277900
08/31/23, 23.80, 23.80, 23.40, 23.60, 965600
08/30/23, 24.00, 24.00, 23.65, 23.75, 569900
08/29/23, 24.00, 24.50, 23.60, 23.75, 1228700
08/28/23, 25.00, 25.00, 23.50, 23.80, 496700
08/25/23, 25.00, 25.00, 23.00, 23.80, 452500
08/24/23, 26.50, 26.50, 24.85, 25.15, 715600
08/23/23, 27.00, 27.00, 26.75, 26.90, 228000
08/22/23, 27.00, 27.00, 26.75, 26.95, 120600
08/21/23, 27.50, 27.50, 26.55, 27.00, 370400
